Languages;Langues
Your password has been changed. An e-mail has been sent to your e-mail address with your new password. From now on,Please use the new credentials received from email;Votre mot de passe a été modifié. Un e-mail a été envoyé avec votre nouveau mot de passe. Veuillez désormais utiliser le nouveau mot de passe reçu
We were unable to send you an email with your new password. Please try again later;L'email n'a pu vous être envoyé. Veuillez essayer ultérieurement.
Current password;Mot de passe actuel
Change your password;Modifier votre mot de passe
My password;Mon mot de passe
New password;Nouveau mot de passe
Confirm new password;Confirmer le nouveau mot de passe
Please confirm your new password;Veuillez confirmer votre nouveau mot de passe
Please enter your new password;Veuillez saisir votre nouveau mot de passe
Please enter your current password;Veuillez saisir votre mot de passe actuel
Please enter your current password, a new password and the password confirmation;Veuillez saisir votre mot de passe actuel, un nouveau mot de passe, puis confirmer le mot de passe 
The new password and the confirmation do not match;Le nouveau mot de passe et la confirmation ne correspondent pas
An error occured while updating your password. Please try again later;Une erreur est survenue lors de la modification de votre mot de passe. Veuillez essayer ultérieurement
Your password has been changed;Votre mot de passe a été modifié
The current password provided is incorrect;Le mot de passe actuel fourni est incorrect
Contract number;N° Contrat
Store;Magasin
Description;Description
Sales date;Date vente
Scheduled payment date;Date règlement
Amount;Montant total
Pending payment;Règlements en attente
Product in stock;Produits en stock
Reference;Référence
Initial price;Prix initial
Current price;Prix actuel
Qty;Qté
Ref. Article;Réf. Article
Contact ID;Code déposant
Checking your credentials. Please wait...;Nous vérifions vos identifiants. Veuillez patienter... 
Checking your e-mail. Please wait...;Nous vérifions votre identifiant. Veuillez patienter...
Your store;Votre magasin
You have been registered successfully, check your email to see your credentials.;Votre compte a été créé avec succès, veuillez vérifier votre mail pour voir vos coordonnées.
Fill all fields please.:Veuillez renseigner tous les champs.

Dashboard;Tableau de Bord
Companies;Entreprises
New Companies;Nouvelle Entreprise
Companies List;Liste des Entreprises
Missions;Missions
New Mission;Nouvelle Mission
Missions List;Liste des Missions
All Missions;Toutes les missions
Contacts;Contacts
New Contact;Nouveau Contact
Contact List;Liste des Conatacts
Prospectors;Prospecteurs
Prospector;Prospecteur
New Prospector;Nouveau Prospecteur
Prospectors List;Liste des Prospecteurs
Mailer;Mailer

Company Address;Adresse
Company Country;Pays

Interest level;Niveau d'intérêt

By who;Par
Search;Recherche

See More;Plus d'informations
Customers;Clients
Customer;Client

Sign in to start your session;Connectez-vous pour démarrer votre session
Email;Email
Password;Mot de passe
Log in;Se connecter
Please enter a valid date;Date invalide

I forgot my password;Mot de passe oublié
gonna believe;Mot de passe oublié

Get back to login page;Retourner à la page de connexion
Submit;Soumettre
Enter your email to reset your password;Entrer votre email pour réinitialiser votre mot de passe
Submitting...;Traitement en cours...

Reset Password;Réinitialisation le mot de passe
Recent Addition;Ajout Réçent
Contacts;Contacts
Full Name;Nom Complet
Added by;Ajouté par
Added on;Ajouté le

Attachment;Pièce jointe

Please choose the company type;Veuillez choisir le type d'entreprise

This account has been deactivated;Ce compte a été désactivé

Your comment ...;Votre Commentaire ...
Edit;Modifier
Action;Action
Type;Type
Field of activity;Domaine d'activité
Company name;Nom de l'entreprise
Add Comment;Ajouter un commentaire
Add report;Ajouter un compte rendu
Import a XLSX/XLX file;Importer un fichier EXCEL
Add a company;Ajouter une entreprise
Code NAF;Code NAF
Public;Public
Private;Privé
Choose a type;Choix de type
Company type;Type d'Entreprise
Company city;Ville
Company zipcode;Code postal

Please fill all the required fields;Veuillez remplir tous les champs obligatoires
Contact updated;Contact mise à jour

Comment add successfully;Commentaire ajouté

en;fr

carried out;Effectuée
not carried out;Non Effectuée
expired date;Date expirée
Act mission;Effectuer la mission
remain day;jour restant

Planned By;Planifié Par

Policy;Mention Légales

Edit Company;Modification

Is manager';Manager'
Is active;Actif
Non-interested;Pas interessé
Interested;Interessé
Select an interest level;Sélectionnez un niveau d'intérêt
Company type;Type d'entreprise
Company;Entreprise
Title;Titre
Phone number;Téléphone
Last name;Nom
First name;Prénom
Add a contact;Ajouter un contact
Select a company;Sélectionner une entreprise
Select a contact;Sélectionner un contact
Mission Date;Date de la mission
Select a mission type;Sélectionnez un type de mission
Mission type;Type de mission
Add a mission;Ajouter une mission
Contact info;Informations sur le contact
View;Consulter
Fonction;Fonction
Contact;Contact
Contact List;Liste des contacts
day;jour
remain;restant
Mission date;Date de la mission

File upload successfully;Fichier ajouté

Make sure you enter the label of the mission;Veiller entrer le type de la mission
Please enter a date;Veiller entrer une date
Please choose a company;Veuillez choisir une société
Please choose a contact;Veuillez choisir un contact
Mission successfully registered;Mission enrrégiistrée avec succes
Mission not registered please try again;Mission non enrrégiistrée veillez réessayer


No Messages availables;Aucun message disponible
All messages;Tous les messages
Sents;Envoyés
Folder;Dossier
New mail;Nouveau courrier

Password change;Changement de mot de passe
New Password;Nouveau mot de passe
Old Password;Ancien mot de passe
Display Password;Afficher mot de passe

Preview;Aperçu
Previewing;Aperçu
Send;Envoyer
Sending;Envoi en cours
Viewer;Visionneuse d'e-mails
Discard;Annuler
Price list;Grille tarifaire
Add;Ajouter
Remove;Enlever
Subject;Objet
Email Type;Type d'e-mail
Compose New Mail;Composer un nouveau courrier
Sent elements;Elements envoyés
Compose;nouveau courrier

Error, please try again;Erreur Veillez réessayer
Saving company, please wait...;Enrégistrement d'Entreprise, veillez patienter...

Company registered successfully;Société enregistrée avec succès
This company already exists in our database;Cette entreprise existe déjà dans notre base de données
Please enter the NAF code;Veuillez saisir le code NAF
Please enter the city;Veuillez entrer la ville
Please confirm the field of activity;Veuillez confirmer le domaine d'activité
Please enter the postal code;Veuillez saisir le code postal
Please enter the name of the company;Veuillez saisir le nom de l'entreprise


Please enter contact first name;Veuillez saisir le prénom du contact
Please enter contact last name;Veuillez saisir le nom du contact
Please enter contact phone number;Veuillez entrer le numéro de téléphone du contact
Please enter contact function;Veuillez entrer la fonction de contact
Please choose a company type;Veillez choisir un type d'entreprise
Please choose a Company;Veuillez choisir une entreprise
Enter contact email address;Entrez l'adresse e-mail de contact
Please choose conatct status;Veuillez choisir le statut de contact
This contact already exists;Ce contact existe déjà
Contact saved successfully;Contact enregistré avec succès
Connection problem, please try again;Problème de connexion, veuillez réessayer

Please choose an mail type;Veuillez choisir un type de courrier
Please choose a contact;Veuillez choisir un contact
Please enter email subjet;Veuillez saisir l'objet de l'e-mail
Mail sent;Email envoyé
Error, please try again;Erreur, veuillez réessayer
Saving contact, please wait...;Enregistrement du contact, veillez patienter s'il vous playit...
Choose an email type before viewing email;Choisissez un type d'e-mail avant d'afficher l'e-mail
Attention;Attention


Add Prospector;Ajouter un propecteur
Role;Rôle
Select a Role;Selectionnez un rôle
Manager;Manager
Select a Manager;Sélectionnez un manager
Email address;Adresse Email
Active;Actif

Please enter a first name;Veuillez saisir un prénom
Please enter a last name;Veuillez saisir un nom de famille
Choose a role;Choisissez un rôle
Please enter an email address;Entrez une adresse mail 
This prosector already exists;Ce prosecteur existe déjà
Prospector added;Prospecteur ajouté
Error, please try again';

Settings;Paramètres

Confirm New Password;Confirmer le nouveau mot de passe

Incorrect password, please enter at least 8 characters!;Mot de passe incorrecte, veillez entrer au moins 8 caractères!
Passwords don't match;Les mots de passe ne correspondent pas
Please enter a new password;Veillez entrer un nouveau mot de passe
Please enter your old password;Veillez entrer votre mot de passe

Display _MENU_ records per page;Afficher _MENU_ enregistrements par page
Nothing found - sorry;Aucune données - désolé 

Label;Libellé

Mission Detail;Détails de la mission
Recent Comments;Commentaires récents
comment;commentaire
Add comment;Ajouter un commentaire
Add Description;Ajouter une description
Add Contact;Ajouter un contact
Add company;Ajouter une Entreprise
Create Mission;Créer une mission

Add Prospector;Ajouter un Prospecteur

Company updated;Entreprise mise à jour
View Stats;Statistique
Activate;Activer
Desactivate;Désactiver

Showing page _PAGE_ of _PAGES_;Affichage de la page _PAGE_ sur _PAGES_
iltered from _MAX_ total records;filtré à partir de _MAX_ enregistrements totaux
No records available;Aucun enregistrement disponible
prev;précédent
next;suivant
prev year;année précédente
next year;année suivante
year;année
today;ce jour
month;mois
week;semaine
list;planning
W;Sem
all-day;tous les jours
more;en plus
No events to display;Aucun événement à afficher

Choose the company type;Choisir le type d'entreprise
Open;Ouvrir
Quick View;Voir

January;Janvier
July;Juillet
Web Site;Site Internet
Comment;Commentaire
No Web Site;Pas de Site Internet
Timeline;Historique
Password invalid;Mot de passe invalide
This email address does not exist in our database;Cet adresse mail n'existe pas dans notre base de données
No timelines;Aucune action effectuée
Lastname;Nom
Firstname;Prénom
Contact List;Liste des Contacts
No Name;Pas de nom
No info;Non Inscrit
Choose a country;Choisir un pays
Are you sure you want to log out?;Voulez-vous vous déconnecter ?
New password has been sent to your email address;Un nouveau mot de passe a été envoyé à votre adresse mail
This email do not exist in our databases;Cet email n'existe pas dans notre base de données
Function;Fonction
Enter a comment;Entrer un commentaire
